Марка и модель,Выигрышная ставка,Записей о продаже,VIN,Пробег,Дата аукциона,Двигатель,Кузов,Цвет,Топливо,Привод,Ключи,Состояние,Место продажи,Стоимость ремонта,Рыночная стоимость,Документы,Тип повреждения,Основное повреждение,Второстепенное повреждение,Коробка передач
2004 Honda Accord Ex,$ 250 USD,1,1HGCM56864A068090,,20.05.2024 14:00 UTC,2.4l 4,,Серебряный,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,"LEXINGTON, KENTUCKY",$ 5 785 USD,$ 10 950 USD,KY - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,Автоматическая
2004 Honda Accord Ex,$ 250 USD,1,1HGCM56864A068090,,20.05.2024 14:00 UTC,2.4l 4,,Серебряный,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,"LEXINGTON, KENTUCKY",$ 5 785 USD,$ 10 950 USD,KY - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,Автоматическая
2004 Honda Accord Ex,$ 250 USD,1,1HGCM56864A068090,,20.05.2024 14:00 UTC,2.4l 4,,Серебряный,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,"LEXINGTON, KENTUCKY",$ 5 785 USD,$ 10 950 USD,KY - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,Автоматическая
2004 Honda Accord Ex,$ 250 USD,1,1HGCM56864A068090,,20.05.2024 14:00 UTC,2.4l 4,,Серебряный,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,"LEXINGTON, KENTUCKY",$ 5 785 USD,$ 10 950 USD,KY - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,Автоматическая
2004 Honda Accord Ex,$ 250 USD,1,1HGCM56864A068090,,20.05.2024 14:00 UTC,2.4l 4,,Серебряный,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,"LEXINGTON, KENTUCKY",$ 5 785 USD,$ 10 950 USD,KY - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,Автоматическая
2004 Honda Accord Ex,$ 250 USD,1,1HGCM56864A068090,,20.05.2024 14:00 UTC,2.4l 4,,Серебряный,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,"LEXINGTON, KENTUCKY",$ 5 785 USD,$ 10 950 USD,KY - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,Автоматическая
2004 Honda Accord Ex,$ 250 USD,1,1HGCM56864A068090,,20.05.2024 14:00 UTC,2.4l 4,,Серебряный,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,"LEXINGTON, KENTUCKY",$ 5 785 USD,$ 10 950 USD,KY - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,Автоматическая
2004 Honda Accord Ex,$ 250 USD,1,1HGCM56864A068090,,20.05.2024 14:00 UTC,2.4l 4,,Серебряный,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,"LEXINGTON, KENTUCKY",$ 5 785 USD,$ 10 950 USD,KY - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,Автоматическая
2004 Honda Accord Ex,$ 250 USD,1,1HGCM56864A068090,,20.05.2024 14:00 UTC,2.4l 4,,Серебряный,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,"LEXINGTON, KENTUCKY",$ 5 785 USD,$ 10 950 USD,KY - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,Автоматическая
2004 Honda Accord Ex,$ 250 USD,1,1HGCM56864A068090,,20.05.2024 14:00 UTC,2.4l 4,,Серебряный,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,"LEXINGTON, KENTUCKY",$ 5 785 USD,$ 10 950 USD,KY - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,Автоматическая
2004 Honda Accord Ex,$ 250 USD,1,1HGCM56864A068090,,20.05.2024 14:00 UTC,2.4l 4,,Серебряный,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,"LEXINGTON, KENTUCKY",$ 5 785 USD,$ 10 950 USD,KY - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,Автоматическая
2004 Honda Accord Ex,$ 250 USD,1,1HGCM56864A068090,,20.05.2024 14:00 UTC,2.4l 4,,Серебряный,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,"LEXINGTON, KENTUCKY",$ 5 785 USD,$ 10 950 USD,KY - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,Автоматическая
2004 Honda Accord Ex,$ 250 USD,1,1HGCM56864A068090,,20.05.2024 14:00 UTC,2.4l 4,,Серебряный,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,"LEXINGTON, KENTUCKY",$ 5 785 USD,$ 10 950 USD,KY - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,Автоматическая
2004 Honda Accord Ex,$ 250 USD,1,1HGCM56864A068090,,20.05.2024 14:00 UTC,2.4l 4,,Серебряный,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,"LEXINGTON, KENTUCKY",$ 5 785 USD,$ 10 950 USD,KY - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,Автоматическая
2004 Honda Accord Ex,$ 250 USD,1,1HGCM56864A068090,,20.05.2024 14:00 UTC,2.4l 4,,Серебряный,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,"LEXINGTON, KENTUCKY",$ 5 785 USD,$ 10 950 USD,KY - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,Автоматическая
2004 Honda Accord Ex,$ 250 USD,1,1HGCM56864A068090,,20.05.2024 14:00 UTC,2.4l 4,,Серебряный,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,"LEXINGTON, KENTUCKY",$ 5 785 USD,$ 10 950 USD,KY - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,Автоматическая
2004 Honda Accord Ex,$ 250 USD,1,1HGCM56864A068090,,20.05.2024 14:00 UTC,2.4l 4,,Серебряный,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,"LEXINGTON, KENTUCKY",$ 5 785 USD,$ 10 950 USD,KY - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,Автоматическая
2004 Honda Accord Ex,$ 250 USD,1,1HGCM56864A068090,,20.05.2024 14:00 UTC,2.4l 4,,Серебряный,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,"LEXINGTON, KENTUCKY",$ 5 785 USD,$ 10 950 USD,KY - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,Автоматическая
2004 Honda Accord Ex,$ 250 USD,1,1HGCM56864A068090,,20.05.2024 14:00 UTC,2.4l 4,,Серебряный,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,"LEXINGTON, KENTUCKY",$ 5 785 USD,$ 10 950 USD,KY - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,Автоматическая
2004 Honda Accord Ex,$ 250 USD,1,1HGCM56864A068090,,20.05.2024 14:00 UTC,2.4l 4,,Серебряный,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,"LEXINGTON, KENTUCKY",$ 5 785 USD,$ 10 950 USD,KY - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,Автоматическая
2004 Honda Accord Ex,$ 250 USD,1,1HGCM56864A068090,,20.05.2024 14:00 UTC,2.4l 4,,Серебряный,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,"LEXINGTON, KENTUCKY",$ 5 785 USD,$ 10 950 USD,KY - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,Автоматическая
2004 Honda Accord Ex,$ 250 USD,1,1HGCM56864A068090,,20.05.2024 14:00 UTC,2.4l 4,,Серебряный,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,"LEXINGTON, KENTUCKY",$ 5 785 USD,$ 10 950 USD,KY - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,Автоматическая
2004 Honda Accord Ex,$ 250 USD,1,1HGCM56864A068090,,20.05.2024 14:00 UTC,2.4l 4,,Серебряный,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,"LEXINGTON, KENTUCKY",$ 5 785 USD,$ 10 950 USD,KY - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,Автоматическая
2004 Honda Accord Ex,$ 250 USD,1,1HGCM56864A068090,,20.05.2024 14:00 UTC,2.4l 4,,Серебряный,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,"LEXINGTON, KENTUCKY",$ 5 785 USD,$ 10 950 USD,KY - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,Автоматическая
2004 Honda Accord Ex,$ 250 USD,1,1HGCM56864A068090,,20.05.2024 14:00 UTC,2.4l 4,,Серебряный,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,"LEXINGTON, KENTUCKY",$ 5 785 USD,$ 10 950 USD,KY - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,Автоматическая
2004 Honda Accord Ex,$ 250 USD,1,1HGCM56864A068090,,20.05.2024 14:00 UTC,2.4l 4,,Серебряный,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,"LEXINGTON, KENTUCKY",$ 5 785 USD,$ 10 950 USD,KY - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,Автоматическая
2004 Honda Accord Ex,$ 250 USD,1,1HGCM56864A068090,,20.05.2024 14:00 UTC,2.4l 4,,Серебряный,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,"LEXINGTON, KENTUCKY",$ 5 785 USD,$ 10 950 USD,KY - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,Автоматическая
2004 Honda Accord Ex,$ 250 USD,1,1HGCM56864A068090,,20.05.2024 14:00 UTC,2.4l 4,,Серебряный,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,"LEXINGTON, KENTUCKY",$ 5 785 USD,$ 10 950 USD,KY - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,Автоматическая
2004 Honda Accord Ex,$ 250 USD,1,1HGCM56864A068090,,20.05.2024 14:00 UTC,2.4l 4,,Серебряный,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,"LEXINGTON, KENTUCKY",$ 5 785 USD,$ 10 950 USD,KY - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,Автоматическая
